sigma,weight_mode,sweep,cum_moved_mean,cum_moved_std
1.0,uniform,0,0.0,0.0
1.0,uniform,1,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,2,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,3,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,4,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,5,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,6,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,7,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,8,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,9,0.9999999999999999,1.1749496091904414e-16
1.0,uniform,10,0.9999999999999999,1.1749496091904414e-16
1.0,random,0,0.0,0.0
1.0,random,1,0.9219529442468254,0.01189438342308533
1.0,random,2,0.9944512625511289,0.0019668012250633003
1.0,random,3,0.9994314088447728,0.0003540311745616195
1.0,random,4,0.9999301449759915,6.791644972969476e-05
1.0,random,5,0.999990337999556,1.3195902830002065e-05
1.0,random,6,0.9999985411046802,2.58584358446959e-06
1.0,random,7,0.9999997629897092,5.141991406814988e-07
1.0,random,8,0.9999999591619568,1.0343266982304835e-07
1.0,random,9,0.9999999926647399,2.08671909450584e-08
1.0,random,10,0.9999999986346242,4.219469548405339e-09
10.0,uniform,0,0.0,0.0
10.0,uniform,1,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,2,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,3,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,4,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,5,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,6,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,7,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,8,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,9,0.9999999999999999,1.1430445635548514e-16
10.0,uniform,10,0.9999999999999999,1.1430445635548514e-16
10.0,random,0,0.0,0.0
10.0,random,1,0.9221200233833549,0.00964392686891426
10.0,random,2,0.994261814166467,0.0018989830011499113
10.0,random,3,0.9993575569143981,0.0005874760525246105
10.0,random,4,0.9999026794086728,0.00018225510588772907
10.0,random,5,0.9999808746573868,5.6960084224784885e-05
10.0,random,6,0.9999954101574656,1.8029115375078025e-05
10.0,random,7,0.99999874797565,5.796486581056827e-06
10.0,random,8,0.9999996323896458,1.8881254481146344e-06
10.0,random,9,0.9999998874508705,6.20871149981916e-07
10.0,random,10,0.9999999646621701,2.0544947298160316e-07
