rho,weight_mode,rmse_test,max_abs_pred_err,var_interaction
0.0,uniform,0.6591755446898088,6.754176986589755e-07,0.8611309823830288
0.0,empirical,0.6591755446898088,6.754176986589755e-07,0.25968812432154637
0.0,diff_uniform_vs_empirical,0.6591755446898088,,0.3563135502935941
0.5,uniform,0.45360432719892446,6.826706444584829e-07,0.5561818474437621
0.5,empirical,0.45360432719892446,6.826706435703045e-07,0.08847164377511574
0.5,diff_uniform_vs_empirical,0.45360432719892446,,0.7049807354975209
0.9,uniform,0.2228012957391478,1.942445994274067e-06,0.1354613080643921
0.9,empirical,0.2228012957391478,1.9424459889449963e-06,0.0013106294394847912
0.9,diff_uniform_vs_empirical,0.2228012957391478,,0.8385813680563118
