i,feature,var_emp
1,Duration,2906619.4307109434
24,Job_3,247364.79500519365
20,Purpose_vacation/others,93542.4670314896
0,Age,79656.39639608368
18,Purpose_radio/TV,43529.31434810902
16,Purpose_education,9319.287402735286
14,Purpose_car,8125.176388716242
15,Purpose_domestic appliances,7249.84569806698
10,Checking account_moderate,6805.882522525565
2,Sex_female,5867.723502251897
11,Checking account_rich,3531.315665906135
27,Housing_3,3456.322118997763
8,Saving accounts_unknown,3328.4069977158097
21,Job_0,3261.8661355950217
26,Housing_2,2494.1733114674507
9,Checking account_little,1772.6806791249408
5,Saving accounts_moderate,160.58353208503277
7,Saving accounts_rich,69.72218150531606
4,Saving accounts_little,58.72366092872821
13,Purpose_business,25.996336163704076
19,Purpose_repairs,0.0
3,Sex_male,0.0
6,Saving accounts_quite rich,0.0
22,Job_1,0.0
23,Job_2,0.0
25,Housing_1,0.0
12,Checking account_unknown,0.0
17,Purpose_furniture/equipment,0.0
