function,rho,seed,weight_mode,rmse_test,max_abs_pred_err0,max_abs_pred_err,inter_var_share,l2_f1,l2_f2,l2_f12,signflip_f1,signflip_f12,quad_pp_sign,quad_pp_changed,mono_frac,mono_changed
F1,0.0,0,empirical,1.2193573361926942,3.115740518921939e-07,3.115740527803723e-07,0.2929921149811601,,,,,,,,,
F1,0.0,0,uniform,1.2193573361926942,3.115740518921939e-07,3.115740518921939e-07,0.35511567523961074,,,,,,,,,
F1,0.0,0,indep,1.2193573361926942,3.115740518921939e-07,3.115740518921939e-07,0.3328182821122569,,,,,,,,,
F1,0.0,0,perm_joint,1.2193573361926942,3.115740518921939e-07,3.115740518921939e-07,0.3163957779293569,,,,,,,,,
F1,0.0,0,diff_vs_empirical::uniform,,,,,0.29119377627855536,0.29670449120060055,0.31399307989003544,0.045454545454545456,0.13636363636363635,1.0,0.0,1.0,1.0
F1,0.0,0,diff_vs_empirical::indep,,,,,0.12709867506445038,0.11697148905544832,0.16770368337979633,0.045454545454545456,0.07905138339920949,1.0,0.0,1.0,1.0
F1,0.0,0,diff_vs_empirical::perm_joint,,,,,0.18062314752850153,0.1405808190734773,0.21955410437834522,0.09090909090909091,0.14031620553359683,1.0,0.0,0.8095238095238095,0.0
F1,0.97,0,empirical,0.9909432308969377,9.258711415327525e-07,9.258711441972878e-07,2.0066800579633844e-05,,,,,,,,,
F1,0.97,0,uniform,0.9909432308969377,9.258711415327525e-07,9.258711424209309e-07,0.05578925641307933,,,,,,,,,
F1,0.97,0,indep,0.9909432308969377,9.258711415327525e-07,9.258711424209309e-07,0.013720425785616336,,,,,,,,,
F1,0.97,0,perm_joint,0.9909432308969377,9.258711415327525e-07,9.258711406445741e-07,0.012368271491849622,,,,,,,,,
F1,0.97,0,diff_vs_empirical::uniform,,,,,1.0105592064537896,1.1004603169041303,0.26755408874482384,0.24,0.29080118694362017,1.0,0.0,0.7916666666666666,0.0
F1,0.97,0,diff_vs_empirical::indep,,,,,0.12916275945660788,0.1947068028564208,0.32001350537280626,0.0,0.28486646884273,1.0,0.0,0.7916666666666666,0.0
F1,0.97,0,diff_vs_empirical::perm_joint,,,,,0.1372984047303078,0.19952433923345772,0.32492447249862444,0.0,0.34226190476190477,1.0,0.0,0.6666666666666666,0.0
F2,0.0,0,empirical,1.0965318838960485,3.8437909699595707e-07,3.843790974400463e-07,0.8033883892307717,,,,,,,,,
F2,0.0,0,uniform,1.0965318838960485,3.8437909699595707e-07,3.8437909699595707e-07,0.7772566268532406,,,,,,,,,
F2,0.0,0,indep,1.0965318838960485,3.8437909699595707e-07,3.843790974400463e-07,0.8441629767582798,,,,,,,,,
F2,0.0,0,perm_joint,1.0965318838960485,3.8437909699595707e-07,3.8437909699595707e-07,0.8200851456223283,,,,,,,,,
F2,0.0,0,diff_vs_empirical::uniform,,,,,0.08674885524267054,0.10863369922347059,0.143633624828454,0.08333333333333333,0.023809523809523808,1.0,0.0,0.9090909090909091,0.0
F2,0.0,0,diff_vs_empirical::indep,,,,,0.06113379318485799,0.10901384948716092,0.13517454131528994,0.08333333333333333,0.02976190476190476,1.0,0.0,0.9090909090909091,0.0
F2,0.0,0,diff_vs_empirical::perm_joint,,,,,0.14840237996482433,0.12174414915011833,0.19719001498529498,0.25,0.06547619047619048,1.0,0.0,0.5454545454545454,1.0
F2,0.97,0,empirical,0.7901300212392935,7.497440779324904e-07,7.497440774884012e-07,0.056462701752565465,,,,,,,,,
F2,0.97,0,uniform,0.7901300212392935,7.497440779324904e-07,7.497440783765796e-07,0.5947809248218738,,,,,,,,,
F2,0.97,0,indep,0.7901300212392935,7.497440779324904e-07,7.497440779324904e-07,0.7296929262459537,,,,,,,,,
F2,0.97,0,perm_joint,0.7901300212392935,7.497440779324904e-07,7.49744077044312e-07,0.6784392424986435,,,,,,,,,
F2,0.97,0,diff_vs_empirical::uniform,,,,,0.25149858305896977,0.24415690699907716,0.8792528450188395,0.06666666666666667,0.1743119266055046,1.0,0.0,0.7857142857142857,0.0
F2,0.97,0,diff_vs_empirical::indep,,,,,0.2432023740934647,0.25801321281979767,0.8989723704929972,0.06666666666666667,0.1926605504587156,1.0,0.0,0.7857142857142857,0.0
F2,0.97,0,diff_vs_empirical::perm_joint,,,,,0.22314980344757215,0.2885356747717303,0.8693320989646521,0.13333333333333333,0.1926605504587156,1.0,0.0,0.5714285714285714,0.0
